Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
PRELID3B_6554,51012,prelid3b;slmo2-atp5e,20.1610426,22.87890244,26.88684334,1.66981E-05,0.000192997,1.7617369,1.7617369,1.028748,1.1823931,-1.0024316,-1.0267636,1.0422614,1.2391902,1.7617369
PROS1_5451,5627,pros1,18.90179361,19.72484341,20.7112167,4.88752E-07,9.62419E-06,-2.08527,2.08527,1.0315626,-1.034882,1.1637441,1.0023143,-1.0015944,-1.126564,-2.08527
PSAT1_10692,29968,psat1,8.437793415,9.913910155,12.08311178,4.35807E-05,0.000458536,2.4274447,2.4274447,-1.4465758,-1.0645275,-1.1422873,-1.1127375,-1.1646799,1.4767426,2.4274447
PSMA4_10918,5685,psma4,22.64208825,24.82766505,28.41340227,0.000142392,0.001214522,1.6040072,1.6040072,1.0520499,1.0458268,1.070691,-1.1362936,-1.0426315,1.067362,1.6040072
PSMA7_5506,5688,psma7,22.4446771,27.84026541,37.75187869,0.007026661,0.028159607,1.5041786,1.5041786,-1.0049057,1.0856857,-1.0276551,1.0980421,1.1389897,1.281946,1.5041786
PSMD14_5527,10213,psmd14,22.26608037,26.48931204,33.28513058,0.000108492,0.000972158,1.620292,1.620292,1.0553046,1.1598979,1.247629,1.124567,1.0780772,1.317428,1.620292
PSMD8_16404,5714,psmd8,19.64863702,22.6742044,27.77197777,0.000622989,0.004140282,1.7363212,1.7363212,-1.0477324,1.0459989,1.1269529,-1.0398222,1.0987682,1.1091204,1.7363212
PSMF1_5541,9491,psmf1,14.89470171,20.41384058,35.45478012,0.004690397,0.020496393,1.7468927,1.7468927,1.1682608,1.3893605,1.5307834,1.4064351,1.1825017,1.5996606,1.7468927
PSMG1_5544,8624,psmg1,18.4756459,20.29493419,23.59923414,4.10067E-05,0.000438964,1.6241556,1.6241556,-1.1313376,-1.1544405,-1.3489109,-1.2479471,-1.2435094,-1.0164183,1.6241556
PTGFR_5569,5737,ptgfr,8.840423498,10.25554371,12.34753975,0.00038459,0.002726319,-2.4004266,2.4004266,1.0383804,1.1818762,1.0607488,1.0299287,-1.3148532,-1.5395986,-2.4004266
PUS1_11654,80324,pus1,8.4751957,11.12096532,17.18562047,0.004580349,0.020070485,2.0360796,2.0360796,1.4266887,-1.5258119,-1.0629174,1.1259629,-1.2172452,1.5568808,2.0360796
PXMP2_5641,5827,pxmp2,12.57822796,14.75403878,18.64762798,0.001302296,0.00760865,-1.8064836,1.8064836,1.107596,1.3826599,-1.1811564,1.1497455,1.2598583,-1.1636145,-1.8064836
RBM34_28235,23029,rbm34,13.64588666,16.28384652,20.53391911,0.000375296,0.002696387,1.6548537,1.6548537,-1.1246232,-1.0365733,-1.2346339,1.0302262,1.0887707,1.2395356,1.6548537
RNASE4_25972,6038,rnase4,19.57777853,21.69860687,24.51363768,1.51903E-06,2.69206E-05,-1.9990549,1.9990549,-1.0288222,-1.1033164,-1.007904,-1.0234526,-1.0291215,-1.3959478,-1.9990549
RPL13A_5916,23521,rpl13a,15.83181853,18.2231696,22.72433376,0.001969173,0.010131712,1.9949679,1.9949679,-1.0862155,1.0545976,1.1052556,1.2291218,1.1827257,1.0891901,1.9949679
RPL27_5929,6155,rpl27,17.51902717,21.26426924,28.049698,0.001881787,0.009905779,1.7903509,1.7903509,1.0878516,-1.0612797,1.2661643,1.1103829,-1.0210477,1.3683971,1.7903509
RPL36_5938,25873,rpl36,20.16644233,22.52450296,26.44471708,0.000267997,0.002050696,1.8104951,1.8104951,1.0618418,1.0199138,1.1387134,1.1035367,-1.013121,1.1264755,1.8104951
RPL36A_27804,100529097,rpl36a-hnrnph2;rpl36a,3.464100969,4.761161355,8.149593716,0.003818663,0.017705719,2.3350708,2.3350708,-1.2355318,1.5473355,1.4927069,1.6581074,1.4130044,1.9358506,2.3350708
RPL6_5953,6128,rpl6,23.29176634,27.48811499,34.14376203,0.000658155,0.00433784,1.5815433,1.5815433,-1.0600871,1.0938678,1.1008446,1.0383204,1.0293787,1.284957,1.5815433
RPL7A_5954,6130,rpl7a,21.07971625,24.1498012,28.74490971,8.40863E-06,0.000109932,1.6838397,1.6838397,1.0413448,1.1691933,1.0411252,1.0955981,1.0036304,1.491167,1.6838397
RPL9_5956,6133,rpl9,27.89292627,32.48235823,39.32428068,1.94538E-05,0.000216985,1.6119975,1.6119975,1.0169905,1.1715568,1.1653584,1.1836693,1.1095068,1.3384124,1.6119975
RPP40_27808,10799,rpp40,4.969275554,6.534932853,9.903693639,0.013308479,0.047276223,2.7203348,2.7203348,-1.358102,-1.1383867,1.0024465,-1.1267171,1.0902122,1.8440702,2.7203348
RPS2_5983,6187,rps2,6.833544373,8.837128544,11.53187201,1.04619E-07,2.82825E-06,2.046168,2.046168,-1.0741974,1.0920811,1.0457217,1.0297407,-1.0351083,2.0429406,2.046168
RPS20_27810,6224,rps20,30.38929835,37.52251886,50.83852106,0.001181277,0.007056691,1.5229139,1.5229139,-1.0095998,1.2603931,1.1319746,1.064314,1.1515751,1.1895287,1.5229139
RPS5_6011,6193,rps5,16.14127269,17.97887059,20.41779468,1.94697E-07,4.70518E-06,2.0229297,2.0229297,-1.0143379,1.0404627,1.1053524,1.0965393,-1.0000985,1.5828025,2.0229297
RPSA_6025,653162,rpsap9;rpsap58;rpsa,6.877079882,9.368232426,16.22556324,0.0016729,0.008984093,2.700858,2.700858,1.3468728,1.2771071,1.3975197,-1.2550559,-1.040799,2.700858,1.8954046
RSL24D1_11903,51187,rsl24d1,19.81439834,23.81756551,31.54250838,0.010768403,0.039758339,1.6232148,1.6232148,1.0450641,1.1194997,-1.0870225,-1.0681934,1.0129215,1.1087158,1.6232148
SAA1_22122,100528017,saa2;saa2-saa4;saa1,3.355250188,3.940678764,4.707312894,3.0734E-07,7.10446E-06,-12.715553,12.715553,1.4365648,1.4829432,1.78769,1.2551492,1.0522369,-7.61198,-12.715553
SASH3_13505,54440,sash3,19.28144308,45.46080895,401.2774026,0.010700848,0.039600588,-3.73296,3.73296,-1.066332,1.2288598,-3.73296,-1.2723693,1.1685829,-1.0573007,-1.0290623
SCAND1_6116,51282,scand1,6.105803594,9.829635425,33.66394395,0.010926458,0.04024873,1.6063396,1.6063396,1.5842817,1.6063396,1.3404887,1.3649709,1.5724983,1.4529521,1.5220122
SCP2_27826,6342,scp2,14.58724046,15.80371936,17.30355183,4.5899E-08,1.3813E-06,-2.6760392,2.6760392,1.1011233,-1.0380466,-1.0464318,1.0258958,1.033723,-1.4866621,-2.6760392
SCP2_6152,6342,scp2,23.07495751,25.45377866,28.60063989,1.60195E-07,3.99235E-06,-1.7467743,1.7467743,1.0309395,1.0098975,1.0853915,1.1210771,1.0649481,-1.307477,-1.7467743
SERPINE1_6253,5054,serpine1,9.277627831,10.86585669,13.15005589,1.28269E-05,0.000153826,3.3166149,3.3166149,1.3500099,1.1792762,1.5044739,1.280111,1.18403,2.2132096,3.3166149
SERPINE2_27841,5270,serpine2,7.193975894,8.846254095,11.77830347,0.002159056,0.010897768,2.9441278,2.9441278,1.1665311,-1.2074629,1.4385656,-1.2870542,1.1754382,1.9419206,2.9441278
SESN2_18106,83667,sesn2,7.589522188,9.258491438,12.2011753,0.004266218,0.019007311,2.8975604,2.8975604,1.2038391,1.0137792,-1.0002377,1.1125573,-1.1358457,1.4663343,2.8975604
